Song,Scene,Measures,Duration,Meter,Tempo,Is a vamp?,
1  Opening: “I Hope I Get It” ,1,m29-37,9,6/4,150,,
,2,m77,1,2/4,143,Y,
,3,m80-88,9,4/4,143,,
,4,m212-315,9,6/4,155,,
,,,4,4/4,155,,
,,,1,6/4,155,,
,,,4,4/4,155,,
,,,9,6/4,155,,
,,,3,4/4,155,,
,,,4,6/4,155,,
,,,5,4/4,155,,
,,,9,6/4,155,,
,,,4,4/4,155,,
,,,4,6/4,155,,
,,,8,4/4,155,,
,,,9,6/4,155,,
,,,3,4/4,155,,
,,,2,6/4,155,,
,,,5,4/4,155,,
,,,9,6/4,155,,
,,,3,4/4,155,,
,,,8,6/4,155,,
6  Introduction “… And …”,1,m15-31,11,4/4,120,,
,,,2,2/2,120,,
,,,4,4/4,120,,
,2,m33-35,3,4/4,120,,
7 “…And…”,1,m32-60,5,4/4,120,,
,,,1,2/4,120,,
,,,1,4/4,120,,
,,,1,2/4,120,,
,,,21,4/4,120,,
13 Montage Pt. 2,1,m17-27,11,4/4,181,,
15 Montage Pt. 4,1,m165-303,139,4/4,153,,
21 One,1,m176,1,4/4,124,Y,
,2,m177-270,94,4/4,124,,
,3,m329-330,2,4/4,124,Y,
,4,m331-384,54,4/4,124,,